EssayID,Content,Organization,Word Choice,Sentence Fluency,Conventions
1,4,3,3,3,3
2,4,4,4,3,4
3,3,3,3,4,4
4,5,4,5,4,4
5,4,3,4,4,4
6,3,3,3,3,3
7,5,4,4,5,5
8,6,5,5,5,4
9,5,4,3,4,4
10,3,4,3,3,3
11,5,5,5,4,5
12,4,5,3,3,4
13,2,2,2,2,2
14,2,2,2,2,2
15,3,2,3,3,3
16,6,5,6,6,5
17,4,4,3,3,3
18,3,4,4,4,3
19,1,1,1,1,1
20,3,2,3,2,2
21,5,4,4,4,4
22,1,1,1,1,1
23,4,4,4,4,4
24,4,5,4,4,4
25,3,3,4,4,4
26,3,3,3,4,3
27,1,1,1,1,1
28,3,3,3,4,3
29,4,5,4,5,5
30,4,4,3,4,4
31,3,3,3,4,3
32,5,4,5,5,5
33,4,3,4,3,3
34,3,3,4,3,3
35,4,4,3,3,4
36,5,5,6,6,5
37,5,5,5,5,5
38,3,3,3,4,4
39,4,4,4,4,4
40,2,2,2,2,2
41,1,1,1,1,1
42,3,4,3,4,3
43,2,2,2,3,3
44,3,3,3,3,3
45,3,3,3,3,3
46,4,5,4,5,4
47,4,3,3,3,3
48,6,5,5,6,5
49,3,4,3,3,3
50,1,2,1,1,1
51,3,4,3,4,4
52,4,4,3,4,4
53,3,4,3,4,4
54,4,4,4,4,4
55,4,4,3,4,4
56,5,4,4,5,4
57,5,4,4,4,3
58,3,3,2,2,2
59,4,3,3,4,4
60,2,2,2,2,2
61,4,3,3,3,3
62,3,3,3,3,3
63,4,4,3,3,4
64,2,2,2,2,2
65,4,4,4,4,4
66,4,4,5,5,4
67,4,5,4,4,4
68,4,5,4,4,4
69,4,3,3,4,4
70,6,5,6,6,5
71,4,4,4,4,4
72,6,6,6,5,5
73,3,3,3,3,3
74,3,4,3,3,4
75,4,4,4,4,4
76,3,3,3,3,3
77,5,5,4,4,4
78,4,4,4,4,4
79,4,4,4,4,4
80,4,4,3,4,3
81,3,4,3,3,3
82,5,5,5,5,4
83,3,3,3,3,2
84,2,2,2,2,2
85,4,5,4,4,4
86,4,4,5,5,4
87,4,4,4,4,4
88,4,4,5,5,5
89,3,2,2,3,3
90,3,3,3,3,3
91,3,3,3,3,3
92,4,4,4,4,4
93,4,4,4,4,4
94,3,3,4,4,3
95,5,5,5,5,4
96,4,4,3,3,3
97,4,4,4,3,3
98,4,4,5,5,4
99,3,3,3,3,3
100,2,2,2,2,2
101,5,4,4,4,4
102,5,4,5,5,5
103,4,4,5,5,5
104,6,6,5,6,5
105,5,4,4,4,4
106,6,5,5,5,5
107,5,5,4,5,4
108,4,3,3,3,3
109,3,4,4,4,4
110,3,3,3,4,4
111,5,4,5,5,5
112,3,3,4,4,4
113,4,4,4,3,3
114,5,5,4,5,5
115,3,3,3,3,3
116,1,1,2,2,2
117,4,4,4,5,4
118,5,5,5,5,5
119,4,4,5,5,4
120,3,3,3,3,3
121,4,4,4,4,4
122,5,5,4,5,4
123,4,4,4,4,4
124,2,3,2,2,3
125,2,2,1,1,1
126,3,3,3,3,3
127,4,3,4,4,4
128,4,5,5,4,4
129,4,4,4,4,4
130,5,6,6,6,6
131,5,5,4,5,5
132,6,5,5,5,5
133,4,4,4,4,4
134,4,4,4,4,4
135,3,3,3,3,3
136,3,3,3,3,3
137,3,3,3,3,3
138,3,3,4,4,4
139,3,3,3,4,4
140,4,4,4,5,5
141,5,4,4,4,4
142,4,4,4,4,4
143,3,3,2,2,2
144,4,3,4,3,3
145,5,4,5,5,5
146,2,2,2,2,2
147,5,5,5,5,5
148,4,3,3,3,4
149,3,3,3,3,3
150,4,3,4,4,4
151,3,3,3,3,3
152,4,3,3,4,4
153,4,5,5,5,5
154,5,5,5,5,5
155,4,4,4,4,4
156,4,4,3,4,4
157,3,3,3,3,3
158,5,4,4,5,5
159,5,6,5,5,5
160,4,4,3,4,4
161,5,5,4,4,4
162,5,5,6,6,6
163,3,3,3,3,3
164,4,3,4,4,4
165,3,3,3,3,3
166,4,3,3,3,3
167,3,3,3,3,3
168,5,4,4,5,5
169,3,3,3,4,4
170,3,3,3,4,4
171,3,3,3,3,3
172,3,3,3,3,3
173,3,3,3,3,3
174,3,3,3,3,3
175,3,3,3,3,3
176,4,4,4,4,4
177,3,3,3,3,3
178,3,3,3,3,3
179,4,3,4,4,4
180,4,4,4,4,4
181,5,4,5,5,4
182,3,3,3,3,3
183,5,5,4,4,4
184,3,3,3,3,3
185,3,3,3,3,3
186,4,4,3,3,3
187,2,1,2,1,1
188,4,4,4,4,4
189,2,2,2,2,2
190,6,5,6,6,5
191,4,3,4,4,4
192,4,4,4,4,4
193,4,4,4,5,5
194,5,4,4,5,4
195,2,2,2,2,2
196,4,4,3,4,3
197,5,5,5,5,5
198,5,5,4,5,4
199,4,4,4,4,4
200,4,4,3,3,3
201,6,4,5,5,5
202,4,3,4,4,3
203,4,4,4,4,4
204,4,4,4,4,4
205,5,5,4,4,4
206,5,5,4,5,5
207,4,4,4,4,4
208,3,3,3,3,3
209,2,2,2,2,2
210,4,3,3,3,3
211,3,3,3,3,3
212,3,2,3,3,3
213,3,3,3,3,3
214,4,3,3,3,3
215,5,4,4,4,4
216,4,4,3,4,4
217,4,4,4,4,4
218,4,3,3,3,3
219,5,4,4,4,5
220,4,4,4,4,4
221,3,3,2,3,3
222,6,5,5,6,6
223,4,3,3,3,3
224,4,3,4,4,4
225,5,5,5,5,5
226,3,3,3,3,3
227,5,4,5,4,5
228,3,4,3,3,3
229,4,3,3,3,3
230,5,5,5,5,5
231,5,4,4,5,5
232,5,5,5,5,5
233,2,2,2,2,2
234,4,4,4,4,4
235,3,3,3,3,3
236,2,2,2,2,2
237,3,3,3,3,3
238,4,4,3,3,3
239,3,3,3,3,3
240,3,3,3,3,3
241,3,3,3,3,3
242,4,3,3,3,3
243,5,4,4,4,4
244,3,3,3,3,2
245,3,3,4,4,4
246,5,5,5,5,4
247,4,4,3,4,4
248,4,4,4,4,4
249,5,4,4,4,4
250,4,4,4,4,4
251,6,6,5,5,5
252,3,3,3,3,3
253,3,2,2,2,2
254,4,4,4,4,4
255,4,4,3,4,4
256,4,3,3,4,4
257,4,3,3,3,3
258,6,5,5,5,5
259,5,4,4,4,4
260,3,3,3,3,3
261,4,4,3,4,4
262,3,3,3,3,3
263,5,4,5,5,4
264,5,5,5,5,5
265,4,4,4,4,4
266,5,5,6,6,5
267,4,4,5,5,5
268,3,3,3,3,3
269,3,3,3,3,3
270,4,5,4,5,5
271,4,4,4,4,4
272,4,5,4,4,4
273,3,3,3,3,3
274,4,3,3,3,3
275,5,4,5,5,5
276,3,3,3,3,3
277,3,3,3,3,3
278,5,4,4,5,4
279,5,5,5,5,5
280,4,4,4,4,4
281,2,3,2,2,2
282,4,5,4,4,4
283,3,3,3,3,3
284,4,4,3,4,4
285,4,4,4,4,4
286,1,1,1,1,1
287,5,5,5,5,5
288,4,3,3,4,4
289,4,4,4,4,4
290,5,5,5,5,5
291,5,4,5,5,4
292,6,5,5,5,5
293,3,3,3,4,4
294,4,4,4,4,4
295,4,4,4,4,4
296,4,4,4,4,4
297,4,3,3,4,3
298,4,4,4,3,4
299,4,5,4,4,4
300,3,3,3,3,3
301,5,3,4,4,3
302,6,6,5,6,5
303,4,4,4,4,4
304,5,5,4,4,4
305,4,5,4,4,4
306,5,5,5,5,5
307,4,4,3,4,4
308,2,2,2,2,2
309,3,3,3,3,3
310,4,4,4,4,4
311,4,3,3,3,3
312,3,3,3,3,3
314,3,3,3,3,3
315,5,4,5,5,5
316,4,5,5,5,5
317,5,5,5,5,5
318,3,3,3,4,4
319,3,3,3,3,3
320,3,3,3,3,3
321,5,5,5,5,5
322,4,5,5,5,5
323,4,4,4,4,4
324,5,5,4,5,5
325,5,5,4,4,4
326,5,4,5,5,5
327,3,4,3,4,4
328,3,3,3,3,3
329,4,4,3,4,4
330,4,4,4,4,4
331,4,4,4,4,4
332,3,3,3,3,3
333,3,3,3,3,3
334,4,4,4,4,4
335,3,3,3,3,3
336,4,4,4,4,4
337,4,4,4,4,4
338,3,3,3,3,3
339,5,4,4,4,4
340,5,5,5,5,5
341,3,3,4,4,4
342,5,4,5,5,5
343,4,4,3,4,4
345,5,5,5,5,5
346,6,5,6,6,6
347,4,4,3,4,4
348,5,4,4,5,5
349,3,3,3,3,3
350,4,4,4,3,4
351,4,3,4,3,3
352,2,2,3,3,3
353,2,2,2,2,2
354,3,3,3,3,3
355,3,4,4,3,3
356,5,5,4,5,5
357,4,3,3,4,4
358,3,4,3,3,3
359,1,1,1,1,1
360,4,4,3,4,4
361,5,4,4,4,4
362,4,4,4,4,4
363,3,3,3,3,4
364,5,4,5,5,5
365,4,4,3,4,4
366,3,3,3,3,3
367,4,3,3,3,3
368,4,4,3,3,3
369,3,3,3,3,3
370,6,6,6,5,5
371,4,3,3,4,4
372,5,5,4,4,4
373,4,4,3,3,4
374,4,4,3,3,4
375,1,1,1,1,1
376,4,3,3,3,3
377,4,4,4,4,4
378,4,4,4,4,4
379,4,4,4,4,4
380,4,4,4,4,4
381,4,4,4,4,4
382,3,3,3,4,4
383,4,4,4,4,4
384,4,4,4,4,4
385,6,6,6,6,6
386,4,4,4,4,4
387,3,4,4,4,4
388,3,4,3,4,4
389,3,4,3,3,3
390,5,4,4,4,4
391,5,5,5,5,5
392,3,3,3,3,3
393,3,3,3,3,3
394,3,2,2,3,3
395,3,2,2,2,2
396,2,2,3,3,3
397,4,4,4,4,4
398,5,5,4,5,5
399,5,4,4,4,4
400,3,4,3,3,3
401,2,2,2,2,2
402,4,4,3,3,3
403,4,4,3,4,4
404,3,3,3,3,3
405,4,3,5,4,4
406,3,3,3,3,4
407,4,3,3,3,3
408,3,3,3,3,3
409,3,4,3,3,4
410,3,3,3,3,3
411,6,6,5,5,5
412,5,5,5,5,5
413,4,4,4,4,4
414,3,3,3,3,3
415,4,3,3,3,4
416,3,3,3,3,3
417,4,3,3,3,3
418,6,5,5,5,5
419,3,3,3,3,3
420,5,4,4,4,4
421,3,3,3,3,3
422,3,3,3,3,3
423,4,4,3,4,4
424,5,4,4,4,4
425,5,4,5,5,5
426,5,5,5,5,5
427,5,4,5,5,5
428,3,4,3,4,3
429,4,4,5,5,5
430,5,5,4,5,5
431,4,4,4,4,4
432,4,4,3,3,3
433,5,5,5,5,5
434,3,3,3,3,3
435,4,4,4,4,4
436,3,3,3,3,3
437,4,4,5,5,5
438,4,4,3,3,3
439,4,4,4,4,4
440,3,3,3,3,3
441,4,4,3,3,3
442,5,5,5,5,5
443,3,3,3,3,3
444,5,5,4,4,4
445,3,3,3,3,3
446,6,6,6,5,5
447,5,5,4,5,5
448,4,3,4,3,3
449,1,1,1,1,1
450,4,4,4,4,4
451,4,4,3,4,4
452,3,3,3,4,4
453,5,5,4,4,5
454,4,4,4,4,4
455,2,1,1,2,2
456,3,3,2,2,2
457,5,5,6,6,6
458,3,3,4,4,4
459,3,3,3,4,4
460,4,4,4,4,4
461,4,4,3,4,3
462,3,3,4,4,4
463,4,4,4,4,4
464,2,3,3,2,2
465,4,3,4,3,3
466,4,3,4,4,4
467,4,4,4,4,4
468,3,3,3,3,3
469,4,3,4,4,4
470,5,4,4,4,4
471,4,4,3,4,4
472,5,5,5,5,5
473,3,2,3,3,3
474,2,2,2,2,2
475,5,4,4,4,4
476,4,4,4,3,3
477,2,3,2,2,2
478,5,5,5,5,5
479,6,5,5,5,5
480,4,4,4,3,3
481,4,4,5,4,4
482,4,4,3,3,3
483,4,4,3,4,4
484,3,3,4,4,4
485,4,4,4,4,4
486,4,4,3,3,3
487,3,3,3,3,3
488,3,3,3,4,4
489,5,4,5,4,4
490,4,3,4,4,4
491,3,3,3,3,3
492,3,4,3,3,3
493,4,4,3,4,3
494,4,4,4,3,3
495,5,4,4,5,5
496,5,4,4,4,4
497,5,5,5,5,5
498,6,5,6,5,5
499,5,5,4,5,5
500,5,5,4,4,5
501,3,3,3,3,3
502,2,2,2,2,2
503,4,3,3,3,3
504,6,5,5,5,5
505,4,4,4,4,4
506,3,3,3,2,2
507,4,4,3,3,3
508,5,4,5,5,5
509,4,4,5,4,4
510,3,4,3,3,4
511,3,3,3,3,3
512,3,3,3,3,3
513,4,4,4,4,3
514,3,3,4,3,3
515,3,3,3,3,3
516,4,5,5,5,5
517,4,4,3,4,4
518,4,4,4,4,4
519,5,5,5,5,5
520,3,3,3,3,3
521,2,2,3,3,3
522,4,4,4,4,4
523,5,5,4,5,5
524,5,4,4,4,4
525,5,5,4,4,4
526,4,4,3,3,3
527,3,3,3,3,3
528,4,3,4,4,4
529,2,2,3,2,2
530,5,4,4,4,4
531,4,4,3,4,4
532,3,3,4,4,4
533,4,4,5,5,5
534,5,4,5,5,5
535,3,3,4,4,4
536,3,4,4,4,4
537,4,3,3,4,3
538,3,3,3,4,4
539,3,4,3,3,3
540,5,5,4,4,4
541,5,4,5,5,5
542,6,5,6,6,6
543,3,3,3,3,3
544,3,3,3,3,3
545,1,1,1,1,1
546,2,2,2,2,2
547,5,5,5,5,5
548,4,4,4,4,4
549,5,4,4,4,4
550,4,5,5,5,5
551,4,3,4,4,4
552,3,3,2,2,2
553,3,3,3,3,3
554,4,4,4,4,4
555,4,4,4,4,4
556,5,4,4,4,4
557,5,5,5,5,5
558,5,4,5,5,5
559,6,5,6,6,6
560,3,4,3,3,3
561,3,3,3,3,3
562,4,4,4,4,4
563,3,3,3,3,3
564,5,5,5,5,5
565,4,4,3,4,4
566,4,4,4,4,4
567,3,3,3,3,3
568,4,4,3,4,4
569,4,4,3,4,4
570,3,3,3,3,3
571,4,4,4,4,4
572,5,5,4,4,4
573,4,4,4,4,4
574,3,3,3,3,3
575,4,4,4,4,4
576,4,4,4,4,4
577,3,2,2,2,2
578,3,3,3,3,3
579,4,4,3,3,4
580,3,3,3,3,3
581,4,4,4,4,4
582,5,5,4,5,5
583,4,3,4,3,4
584,4,4,4,4,3
585,5,5,5,5,5
586,4,4,3,4,4
587,3,3,3,4,3
588,4,4,4,4,4
589,2,2,3,3,3
590,3,2,2,2,2
591,3,3,3,3,3
592,4,3,3,3,3
593,4,4,4,4,4
594,3,3,2,2,2
595,4,4,4,4,4
596,2,2,2,2,2
597,5,4,4,5,5
598,3,3,3,3,3
599,5,5,4,4,4
600,3,2,2,2,2
601,3,3,4,3,3
602,3,3,3,3,3
603,4,4,4,4,4
604,5,4,4,4,4
605,3,3,3,3,3
606,4,4,3,3,3
607,4,4,3,4,4
608,2,2,2,2,2
609,3,3,3,3,3
610,3,2,2,2,2
611,4,4,3,3,4
612,4,4,4,4,4
613,4,4,3,4,4
614,4,3,3,3,3
615,5,5,5,5,5
616,4,4,3,4,4
617,5,4,5,5,5
618,5,4,5,5,5
619,6,6,6,6,6
620,4,4,4,4,4
621,3,3,3,3,3
622,5,4,4,4,4
623,3,2,2,2,2
624,3,3,3,3,3
625,4,4,4,4,4
626,3,3,3,3,3
627,3,3,3,3,3
628,5,5,5,5,5
629,5,5,5,4,4
630,4,5,5,5,4
631,4,3,3,4,3
632,4,4,4,4,4
633,4,3,3,3,3
634,2,2,2,2,2
635,4,4,4,4,4
636,4,4,5,5,5
637,4,4,3,3,3
638,4,4,4,4,3
639,3,3,3,3,3
640,4,4,4,4,4
641,4,3,3,3,3
642,4,3,4,4,4
643,5,4,5,5,5
644,4,4,4,4,4
645,3,3,3,3,3
646,3,3,3,3,3
647,4,4,4,4,4
648,3,3,3,2,2
649,4,4,3,4,4
650,6,5,5,5,5
651,4,3,3,3,3
652,3,3,3,4,4
653,4,4,4,4,4
654,4,4,4,4,4
655,3,3,3,3,3
656,4,3,3,4,4
657,4,4,4,4,4
658,4,4,4,4,4
659,4,4,4,4,4
660,6,5,6,6,6
661,4,3,4,4,4
