Essay ID,Content,Organization,Word Choice,Sentence Fluency,Conventions
2978,3,3,3,3,3
2979,1,1,1,1,1
2980,1,1,1,2,4
2981,4,3,3,3,4
2982,4,4,4,4,3
2983,4,4,4,4,4
2984,5,4,5,4,4
2985,3,2,1,1,2
2986,5,5,4,4,5
2987,5,5,5,5,5
2988,3,3,3,2,3
2989,4,4,3,4,4
2990,6,5,6,5,5
2991,4,3,3,2,3
2992,1,2,1,2,1
2993,2,2,2,2,2
2994,3,3,3,3,3
2995,2,2,2,3,3
2996,1,1,1,1,1
2997,4,4,3,4,4
2998,2,2,2,2,1
2999,3,2,2,2,2
3000,2,4,3,3,2
3001,3,3,3,3,3
3002,3,3,2,2,2
3003,3,2,2,2,2
3004,4,3,4,3,2
3005,2,1,3,2,2
3006,4,4,4,4,4
3007,4,3,4,4,4
3008,5,5,5,5,5
3009,4,4,5,4,5
3010,2,2,3,2,1
3011,3,3,3,4,2
3012,3,2,2,3,2
3013,5,5,5,5,5
3014,5,5,5,5,5
3015,5,4,4,5,4
3016,3,4,4,4,4
3017,5,4,5,4,5
3018,2,4,2,3,2
3019,3,3,3,3,3
3020,3,4,3,3,3
3021,4,3,3,3,3
3022,5,4,5,4,5
3023,4,4,3,4,4
3024,3,3,3,3,3
3025,3,2,3,2,2
3026,3,3,4,4,4
3027,3,3,3,3,2
3028,5,5,4,4,5
3029,3,2,2,2,2
3030,5,5,4,4,4
3031,4,4,3,4,3
3032,5,5,4,4,3
3033,5,4,3,3,3
3034,6,6,6,4,4
3035,4,3,3,3,3
3036,3,4,3,4,2
3037,5,5,5,5,5
3038,1,1,1,1,1
3039,2,2,2,2,2
3040,4,4,4,4,4
3041,5,4,3,3,3
3042,3,3,3,3,3
3043,3,2,3,3,4
3044,3,2,2,3,2
3045,3,3,3,3,3
3046,2,2,2,2,2
3047,2,2,2,2,2
3048,4,3,4,4,4
3049,4,4,4,3,2
3050,2,2,1,1,1
3051,3,3,3,3,3
3052,5,5,5,5,5
3053,4,4,4,4,4
3054,2,2,3,3,3
3055,2,2,2,2,2
3056,3,3,2,2,2
3057,2,1,2,2,2
3058,3,3,3,2,2
3059,4,4,4,4,4
3060,3,3,3,3,3
3061,2,2,2,3,2
3062,4,3,3,4,4
3063,5,5,4,4,4
3064,3,3,3,3,3
3065,4,3,4,4,4
3066,1,1,1,2,1
3067,4,3,3,4,3
3068,2,2,2,3,1
3069,2,2,2,3,2
3070,3,3,3,4,2
3071,4,3,3,4,3
3072,3,3,3,3,3
3073,3,3,3,3,3
3074,4,3,4,4,4
3075,4,5,3,3,3
3076,3,3,2,2,2
3077,5,4,4,5,3
3078,1,1,1,1,1
3079,3,2,3,3,3
3080,4,3,4,4,4
3081,3,3,3,4,3
3082,3,3,3,3,3
3083,2,2,2,2,2
3084,3,3,3,3,4
3085,2,2,2,2,3
3086,3,3,2,3,2
3087,2,2,2,3,3
3088,4,3,2,3,2
3089,4,4,4,4,4
3090,2,2,2,3,3
3091,2,2,2,3,2
3092,3,2,2,2,2
3093,3,3,3,4,4
3094,5,4,4,4,3
3095,3,1,1,2,1
3096,1,1,1,1,1
3097,2,2,2,2,2
3098,3,3,2,3,3
3099,3,4,3,3,3
3100,2,2,2,2,2
3101,3,2,2,3,3
3102,5,5,5,5,5
3103,3,3,4,4,3
3104,6,5,5,5,5
3105,4,4,4,4,4
3106,5,5,5,5,5
3107,5,4,4,4,4
3108,4,4,4,4,4
3109,2,2,2,2,2
3110,2,2,2,2,2
3111,2,2,2,3,2
3112,4,4,4,4,4
3113,3,3,4,4,4
3114,4,4,3,4,4
3115,4,4,3,4,3
3116,3,3,3,3,4
3117,2,2,2,2,2
3118,1,1,1,1,1
3119,4,5,5,4,5
3120,3,4,4,4,4
3121,5,5,4,4,4
3122,3,3,4,4,3
3123,3,4,3,4,4
3124,5,5,4,5,5
3125,5,4,3,4,3
3126,4,3,3,3,3
3127,4,4,4,4,4
3128,4,4,5,4,3
3129,3,3,5,4,4
3130,4,4,3,3,2
3131,4,4,4,4,4
3132,2,2,2,2,2
3133,4,4,3,4,3
3134,3,3,3,3,3
3135,2,2,2,2,2
3136,3,3,3,3,3
3137,3,3,4,4,3
3138,5,4,4,5,5
3139,2,2,2,2,2
3140,3,3,3,3,3
3141,4,4,3,4,3
