Essay ID,Content,Prompt Adherence,Language,Narrativity
5978,0,0,1,1
5979,3,3,2,2
5980,2,2,2,1
5981,0,1,0,0
5982,1,1,1,1
5983,1,1,1,1
5984,0,0,1,1
5985,0,0,0,0
5986,2,2,2,2
5987,3,3,2,3
5988,3,3,2,3
5989,1,1,2,2
5990,2,2,3,3
5991,1,1,1,1
5992,1,2,1,2
5993,1,1,1,1
5994,1,1,1,1
5995,2,2,3,3
5996,2,2,2,2
5997,2,2,2,2
5998,2,2,2,2
5999,0,0,0,0
6000,3,2,2,3
6001,0,1,0,0
6002,2,2,2,2
6003,3,3,3,3
6004,0,0,0,0
6005,1,1,1,1
6006,1,2,2,2
6007,2,3,2,3
6008,1,1,1,1
6010,2,2,2,2
6011,0,0,0,0
6012,0,0,0,0
6013,1,1,1,1
6014,3,3,3,3
6015,2,3,2,3
6016,2,2,2,2
6017,1,1,2,2
6018,0,0,0,0
6019,1,1,1,2
6020,1,1,1,2
6021,2,2,2,2
6022,1,2,1,1
6023,3,3,2,3
6024,1,1,1,2
6025,1,1,1,1
6026,3,3,3,3
6027,2,3,2,3
6028,0,1,1,1
6029,1,1,1,1
6030,2,3,3,3
6031,2,2,1,2
6032,2,2,2,2
6033,2,2,2,2
6034,2,2,2,2
6035,1,1,1,1
6036,1,2,1,2
6037,2,2,1,1
6038,1,1,1,1
6039,1,1,1,1
6040,1,1,0,0
6041,0,0,0,0
6042,2,2,3,2
6043,2,2,1,1
6044,1,0,0,0
6045,2,2,1,2
6046,2,2,2,2
6047,1,2,2,1
6048,1,1,1,1
6049,1,2,2,1
6050,3,3,2,3
6051,1,2,1,2
6052,1,1,1,1
6053,1,0,0,0
6054,2,2,1,2
6055,2,2,2,2
6056,1,2,1,1
6057,2,2,2,2
6058,1,1,1,1
6059,1,1,1,1
6060,0,0,0,0
6061,2,2,2,2
6062,2,2,1,1
6063,2,1,1,1
6064,1,1,1,1
6065,2,3,2,2
6066,1,0,1,0
6067,1,1,1,1
6068,2,2,2,1
6069,2,2,2,2
6070,1,1,1,2
6071,3,3,3,3
6072,3,3,2,2
6073,2,1,2,2
6074,1,1,2,2
6075,3,3,2,3
6076,2,2,2,2
6077,1,1,1,1
6078,1,1,1,1
6079,2,2,2,2
6080,2,3,2,3
6081,1,1,1,1
6082,1,0,1,0
6083,0,0,0,0
6084,2,3,2,2
6085,3,3,2,3
6086,1,1,1,1
6087,1,1,1,1
6088,3,2,2,2
6089,2,2,2,2
6090,2,2,2,1
6091,2,2,2,2
6092,0,1,0,0
6093,0,0,0,0
6094,2,2,2,2
6095,3,3,3,3
6096,1,1,1,1
6097,1,1,0,1
6098,2,2,2,2
6099,0,0,0,0
6100,2,2,1,1
6101,1,1,1,1
6102,2,2,1,2
6103,3,3,2,3
6104,0,0,0,0
6105,2,2,2,2
6106,2,1,1,1
6107,2,2,2,2
6108,1,1,1,1
6109,1,2,1,1
6110,2,2,2,2
6111,2,2,1,1
6112,2,1,1,1
6113,2,2,2,2
6114,0,1,0,1
6115,0,0,0,0
6116,2,2,2,2
6117,1,2,2,2
6118,2,2,1,2
6119,1,1,1,1
6120,2,2,1,1
6121,1,2,2,2
6122,1,1,1,1
6123,2,2,2,2
6124,3,2,2,3
6125,2,2,2,1
6126,0,0,1,1
6127,2,3,2,3
6128,3,3,3,3
6129,2,2,1,1
6130,0,1,1,1
6131,1,1,1,1
6132,2,2,2,2
6133,1,2,2,2
6134,2,2,1,1
6135,1,1,2,1
6136,0,0,1,1
6137,2,2,2,2
6138,3,3,2,3
6139,2,2,1,2
6140,0,0,0,0
6141,1,1,1,1
6142,2,2,2,2
6143,1,1,1,1
6144,1,1,1,1
6145,2,2,2,2
6146,2,2,1,1
6147,2,1,2,1
6148,1,1,0,1
6149,2,2,2,2
6150,2,3,3,3
6151,2,2,2,3
6152,2,3,3,3
6153,0,0,1,1
6154,0,0,0,0
6155,1,2,1,1
6156,1,1,1,1
6157,1,1,1,1
6158,2,2,1,2
6159,1,1,1,1
6160,2,2,3,3
6161,1,1,1,1
6162,1,1,1,1
6163,0,0,0,0
6164,2,1,1,1
6165,2,2,2,3
6166,1,1,1,1
6167,1,1,1,1
6168,1,1,1,1
6169,2,2,2,3
6170,2,2,2,2
6171,3,3,3,3
6172,1,1,2,2
6173,1,0,1,1
6174,1,1,1,1
6175,0,0,1,1
6176,0,0,0,0
6177,1,1,1,1
6178,1,1,1,1
6179,1,1,1,1
6180,1,1,1,1
6181,2,2,3,2
6182,1,1,1,1
6183,2,3,2,2
6184,2,2,2,2
6185,2,2,1,1
6186,1,1,1,1
6187,1,2,2,2
6188,0,0,0,0
6189,0,0,0,0
6190,2,2,2,2
6191,1,1,1,1
6192,3,3,3,3
6193,1,2,2,2
6194,3,3,3,3
6195,2,2,2,2
6196,0,0,0,1
6197,1,1,1,1
6198,1,1,2,2
6199,1,1,1,1
6200,1,1,1,1
6201,1,1,1,1
6202,0,0,1,1
6203,1,1,1,1
6204,2,2,1,1
6205,1,1,1,1
6206,0,0,0,0
6207,0,0,0,0
6208,2,2,2,2
6209,1,2,2,2
6210,1,1,1,1
6211,1,1,1,1
6212,1,1,1,1
6213,0,0,0,0
6214,1,1,2,1
6215,0,0,2,1
6216,1,1,1,1
6217,0,0,0,0
6218,1,1,1,1
6219,2,2,2,2
6220,1,2,1,1
6221,2,1,2,1
6222,1,1,1,1
6223,1,1,1,1
6224,1,1,1,1
6225,2,1,2,2
6226,2,2,2,2
6227,0,1,0,0
6228,1,2,1,1
6229,0,0,0,0
6230,0,0,0,0
6231,1,1,1,1
6232,1,1,1,1
6233,1,1,1,1
6234,0,1,0,0
6235,0,0,0,0
6236,3,3,3,3
6237,2,2,2,1
6238,0,0,0,0
6239,2,2,1,2
6240,3,3,2,3
6241,0,0,0,0
6242,0,0,0,0
6243,3,3,2,3
6244,2,2,2,2
6245,2,2,2,2
6246,2,2,1,2
6247,2,2,2,2
6248,1,2,2,2
6249,2,2,2,2
6250,2,3,2,2
6251,1,1,0,1
6252,0,0,0,0
6253,2,2,2,3
6254,1,1,1,1
6255,0,0,0,0
6256,1,1,1,1
6257,0,0,1,0
6258,0,0,0,0
6259,1,1,1,1
6260,1,1,1,1
6261,1,1,1,1
6262,3,3,2,3
6263,2,3,2,3
6264,2,2,2,2
6265,1,2,1,1
6266,0,0,0,0
6267,3,3,3,3
6268,2,2,2,2
6269,0,0,0,0
6270,2,2,2,2
6271,1,1,1,1
6272,2,2,2,2
6273,1,1,0,0
6274,1,1,1,1
6275,0,1,0,0
6276,3,3,2,3
6277,1,0,0,0
6278,0,0,2,0
6279,1,1,1,1
6280,2,2,2,2
6281,2,2,2,2
6282,2,2,2,2
6283,0,0,0,0
6284,2,2,2,2
6285,2,2,1,1
6286,3,3,2,2
6287,3,2,2,2
6288,1,1,2,1
6289,1,2,2,1
6290,1,1,0,0
6291,2,2,2,2
6292,2,2,3,3
6293,2,2,2,2
6294,2,2,2,2
6295,1,0,0,0
6296,1,1,1,1
6297,0,1,1,1
6298,0,0,0,0
6299,2,3,2,2
6300,2,2,2,2
6301,2,2,2,2
6302,2,1,1,1
6303,0,0,0,0
6304,2,2,2,2
6305,1,2,1,1
6306,1,1,0,0
6307,1,1,1,1
6308,2,2,2,2
6309,0,0,1,1
6310,1,1,1,1
6311,2,1,2,2
6312,2,2,2,2
6313,2,2,2,2
6314,1,1,1,1
6315,1,1,1,1
6316,0,0,1,1
6317,2,2,2,2
6318,1,1,1,0
6319,1,1,1,1
6320,0,1,0,0
6321,0,0,0,0
6322,1,1,1,1
6323,1,1,1,0
6324,1,1,2,1
6325,2,2,2,1
6326,1,0,0,0
6327,2,2,2,3
6328,2,2,2,2
6329,1,2,2,2
6330,3,2,3,3
6331,2,2,2,2
6332,1,1,1,1
6333,2,2,2,2
6334,1,1,1,1
6335,2,2,2,3
6336,2,2,2,2
6337,2,2,1,1
6338,3,2,2,2
6339,2,2,3,3
6340,3,3,2,3
6341,2,2,2,2
6342,1,2,2,1
6343,0,0,1,1
6344,1,1,1,1
6345,2,2,2,2
6346,1,1,1,2
6347,1,1,1,1
6348,2,2,1,1
6349,2,2,2,2
6350,2,2,1,1
6351,2,2,2,2
6352,1,1,1,1
6353,2,2,2,2
6354,1,1,1,1
6355,1,1,1,1
6356,0,0,0,0
6357,1,1,1,1
6358,2,2,2,2
6359,0,0,0,0
6360,2,3,2,3
6361,2,2,2,2
6362,0,0,1,0
6363,1,1,1,1
6364,1,1,1,1
6365,1,1,1,1
6366,3,3,3,3
6367,1,1,1,1
6368,0,0,0,0
6369,1,1,1,1
6370,0,0,0,0
6371,2,2,2,2
6372,2,2,1,2
6373,1,1,1,1
6374,1,1,1,1
6375,0,0,0,0
6376,2,2,3,3
6377,2,2,3,3
6378,2,2,2,2
6379,2,2,2,2
6380,2,2,2,2
6381,2,2,2,2
6382,0,0,0,0
6383,1,1,2,1
6384,1,1,1,1
6385,1,1,1,1
6386,2,2,1,2
6387,3,3,3,3
6388,2,2,2,2
6389,2,2,3,3
6390,2,2,2,2
6391,1,2,1,1
6392,3,3,3,3
6393,0,0,1,0
6394,0,0,0,0
6395,1,1,1,1
6396,3,3,3,3
6397,1,1,1,1
6398,2,2,2,2
6399,2,2,2,1
6400,1,2,2,1
6401,1,1,1,1
6402,2,2,2,2
6403,0,0,0,0
6404,1,1,1,1
6405,2,2,2,2
6406,1,1,1,1
6407,2,2,3,3
6408,2,2,2,2
6409,1,1,1,1
6410,2,2,2,2
6411,0,0,0,0
6412,0,0,0,0
6413,1,1,2,1
6414,1,1,1,0
6415,1,1,1,1
6416,0,0,0,0
6417,2,3,2,3
6418,2,2,2,2
6419,2,3,3,3
6420,0,0,1,0
6421,0,0,1,0
6422,0,1,0,0
6423,1,1,1,1
6424,1,2,2,2
6425,0,0,1,1
6426,1,1,1,1
6427,1,1,1,1
6428,1,0,1,1
6429,0,0,0,0
6430,1,1,1,1
6431,1,1,1,1
6432,1,1,1,1
6433,1,1,1,1
6434,2,2,3,2
6435,1,1,1,1
6436,2,2,2,2
6437,1,1,1,1
6438,0,0,0,0
6439,0,0,1,0
6440,1,1,1,1
6441,1,1,1,1
6442,0,0,1,1
6443,1,1,1,1
6444,2,3,3,3
6445,2,2,2,2
6446,2,2,2,2
6447,2,2,2,2
6448,3,3,2,3
6449,0,0,0,0
6450,2,2,2,2
6451,0,0,1,1
6452,0,0,0,0
6453,2,2,1,1
6454,1,1,1,1
6455,3,3,3,3
6456,1,1,1,0
6457,2,2,1,1
6458,0,0,0,0
6459,1,1,1,1
6460,2,2,2,2
6461,1,1,1,1
6462,2,2,2,2
6463,2,2,2,2
6464,0,0,0,0
6465,1,1,1,1
6466,1,1,0,0
6467,1,1,1,1
6468,2,2,1,1
6469,2,1,1,1
6470,2,2,3,3
6471,1,1,1,1
6472,2,2,2,2
6473,1,1,2,1
6474,2,2,2,2
6475,1,1,1,1
6476,1,1,1,1
6477,1,1,1,1
6478,3,3,3,3
6479,0,0,0,0
6480,2,2,3,3
6481,1,1,2,1
6482,0,0,0,0
6483,2,3,3,3
6484,2,2,2,2
6485,3,3,3,3
6486,2,2,2,2
6487,2,2,2,2
6488,1,2,2,1
6489,2,2,2,2
6490,1,1,2,1
6491,2,2,2,2
6492,1,1,2,1
6493,2,2,2,2
6494,1,2,2,1
6495,0,0,0,0
6496,1,1,1,1
6497,2,2,3,3
6498,1,1,1,1
6499,1,1,1,1
6500,2,2,2,2
6501,1,1,1,0
6502,2,2,2,2
6503,1,2,1,1
6504,0,0,0,0
6505,2,2,3,3
6506,0,0,0,0
6507,2,2,3,3
6508,2,1,1,2
6509,0,0,1,1
6510,1,0,1,0
6511,2,3,3,3
6512,2,2,2,2
6513,1,2,1,1
6514,1,1,1,1
6515,1,1,1,1
6516,3,3,3,3
6517,1,2,1,1
6518,1,0,0,0
6519,2,2,2,2
6520,2,2,2,2
6521,2,2,1,1
6522,1,1,1,1
6523,2,2,2,2
6524,1,2,2,2
6525,1,1,1,1
6526,1,1,1,1
6527,2,2,2,2
6528,2,2,1,1
6529,2,3,2,3
6530,2,2,2,2
6531,0,0,0,0
6532,3,3,2,3
6533,2,2,3,3
6534,1,1,1,1
6535,1,1,1,1
6536,1,1,2,2
6537,1,2,1,1
6538,1,1,1,1
6539,0,0,1,0
6540,1,1,1,1
6541,2,2,2,2
6542,2,3,3,3
6543,2,2,2,2
6544,2,2,2,2
6545,0,0,0,0
6546,2,2,1,1
6547,1,1,1,1
6548,1,1,1,1
6549,2,2,2,2
6550,0,0,1,0
6551,2,2,1,1
6552,0,0,0,0
6553,2,2,2,2
6554,2,2,2,2
6555,0,0,0,0
6556,1,1,1,1
6557,1,2,1,1
6558,1,0,0,0
6559,1,1,1,1
6560,0,0,0,0
6561,3,3,3,3
6562,1,1,1,1
6563,2,2,2,2
6564,2,2,2,2
6565,1,1,1,0
6566,2,2,3,2
6567,2,2,1,1
6568,1,1,0,0
6569,0,0,1,1
6570,2,1,1,1
6571,3,3,3,3
6572,2,3,3,3
6573,2,2,2,2
6575,3,3,3,3
6576,1,1,1,1
6577,0,0,0,0
6578,1,1,2,1
6579,2,2,3,3
6580,2,2,2,2
6581,2,2,2,2
6582,3,3,2,3
6583,1,1,1,1
6584,2,2,2,2
6585,0,0,0,0
6586,2,2,1,1
6587,2,1,1,1
6588,0,0,0,0
6589,1,1,1,1
6590,1,1,1,1
6591,0,0,0,0
6592,2,3,2,2
6593,1,1,1,1
6594,2,2,2,2
6595,2,1,2,1
6596,2,3,2,2
6597,2,2,2,2
6598,1,1,1,0
6599,3,3,3,3
6600,3,3,3,3
6601,2,2,1,2
6602,1,1,0,0
6603,1,2,1,1
6604,1,1,1,1
6605,0,0,0,0
6606,2,2,3,2
6607,2,2,2,2
6608,2,2,2,2
6609,2,2,1,2
6610,0,0,1,0
6611,1,1,1,1
6612,0,0,0,0
6613,1,1,1,1
6614,0,0,0,0
6615,2,2,3,2
6616,0,0,0,0
6617,2,3,3,3
6618,1,1,1,1
6619,3,3,3,3
6620,0,0,0,0
6621,2,1,2,1
6622,2,2,2,2
6623,3,3,3,3
6624,0,0,1,0
6625,2,2,2,2
6626,2,2,2,2
6627,2,2,3,3
6628,2,2,2,1
6629,1,1,1,1
6630,0,0,0,0
6631,2,2,1,1
6632,1,1,1,1
6633,2,2,2,2
6634,1,1,1,1
6635,2,2,2,2
6636,2,3,3,3
6637,3,3,3,3
6638,1,1,1,1
6639,1,1,2,1
6640,1,1,1,1
6641,0,0,0,0
6642,1,1,1,1
6643,2,2,2,2
6644,2,1,1,1
6645,1,1,1,1
6646,2,2,1,2
6647,0,0,0,0
6648,1,2,2,2
6649,0,0,0,0
6650,0,0,0,0
6651,3,3,3,3
6652,2,2,2,2
6653,2,2,2,2
6654,1,2,1,1
6655,2,2,3,3
6656,0,0,1,1
6657,2,2,2,2
6658,2,2,2,1
6659,2,2,3,3
6660,2,2,2,2
6661,2,2,3,3
6662,2,2,3,3
6663,1,1,1,1
6664,2,2,2,2
6665,2,2,2,2
6666,2,1,2,2
6667,1,1,1,1
6668,2,1,2,1
6669,1,1,2,1
6670,0,0,0,0
6671,1,1,1,0
6672,2,2,1,1
6673,0,0,0,0
6674,0,0,0,0
6675,1,1,1,1
6676,1,1,1,1
6677,3,3,3,3
6678,1,1,1,1
6679,3,3,3,3
6680,3,3,3,3
6681,2,3,2,3
6682,3,3,2,3
6683,2,2,2,2
6684,0,0,0,0
6685,1,1,2,2
6686,1,1,1,1
6687,1,2,2,2
6688,0,0,0,0
6689,1,1,2,1
6690,2,2,2,2
6691,0,0,0,0
6692,1,1,2,1
6693,2,2,2,2
6694,2,2,2,3
6695,1,1,0,0
6696,2,2,2,2
6697,2,2,2,2
6698,1,1,1,1
6699,2,2,2,2
6700,2,3,2,3
6701,3,3,2,3
6702,1,0,1,0
6703,2,2,2,2
6704,2,2,1,2
6705,3,3,3,3
6706,2,1,1,1
6707,2,2,2,2
6708,0,0,0,0
6709,2,2,2,2
6710,1,1,1,1
6711,2,2,2,2
6712,2,3,3,3
6713,1,0,1,1
6714,2,2,2,2
6715,1,1,1,1
6716,3,3,3,3
6717,2,2,2,2
6718,1,2,1,1
6719,1,1,1,1
6720,0,0,0,0
6721,2,2,3,2
6722,1,1,1,1
6723,1,1,0,1
6724,2,2,2,2
6725,1,1,1,1
6726,1,1,1,1
6727,2,2,2,2
6728,2,2,2,2
6729,1,0,0,1
6730,2,2,1,1
6731,0,0,1,0
6732,2,2,2,2
6733,3,3,3,3
6734,0,0,0,0
6735,1,1,1,1
6736,2,2,2,2
6737,1,1,2,1
6738,1,1,1,1
6739,2,1,1,1
6740,2,1,2,2
6741,3,3,3,3
6742,1,1,1,1
6743,2,1,2,1
6744,2,2,1,1
6745,1,1,2,2
6746,1,1,1,1
6747,2,2,2,2
6748,2,2,2,2
6749,1,1,2,2
6750,0,0,1,0
6751,2,2,2,2
6752,1,2,1,1
6753,1,1,0,1
6754,1,1,1,1
6755,2,1,1,1
6756,1,1,1,1
6757,2,3,2,2
6758,2,2,2,2
6759,0,0,0,0
6760,2,1,2,2
6761,1,1,1,1
6762,3,3,3,3
6763,2,3,3,3
6764,1,2,1,1
6765,3,3,3,3
6766,1,0,0,0
6767,2,2,1,1
6768,0,0,0,0
6769,1,1,2,1
6770,2,2,1,1
6771,2,3,3,3
6772,2,2,2,2
6773,0,0,1,0
6774,1,1,1,1
6775,1,1,2,1
6776,1,1,1,1
6777,1,1,1,1
6778,2,2,1,1
6779,2,2,2,2
6780,2,2,1,2
6781,2,2,2,2
6782,0,0,0,0
6783,2,2,1,1
6784,1,1,1,1
6785,0,0,1,0
6786,2,2,2,2
6787,1,1,2,1
6788,1,1,1,1
6789,2,2,2,2
6790,1,2,2,1
6791,3,3,2,3
6792,2,2,2,2
6793,1,1,1,1
6794,2,1,1,1
6795,0,0,0,0
6796,0,0,0,0
6797,1,1,1,1
6798,3,3,3,3
6799,1,1,1,1
6800,3,3,2,3
6801,2,2,2,2
6802,2,2,2,2
6803,1,1,1,1
6804,3,3,3,3
6805,2,3,3,3
6806,3,3,3,3
6807,1,1,2,1
6808,2,2,2,2
6809,2,2,3,3
6810,2,3,3,3
6811,2,2,2,2
6812,0,0,0,0
6813,1,1,1,1
6814,2,2,2,2
6815,2,2,1,2
6816,2,2,3,2
6817,1,1,1,1
6818,2,2,3,3
6819,0,0,0,0
6820,0,0,1,0
6821,1,1,1,1
6822,2,2,2,2
6823,0,0,0,0
6824,1,1,0,0
6825,2,3,3,3
6826,2,2,2,2
6827,1,1,0,0
6828,1,1,1,1
6829,1,1,2,1
6830,2,2,1,2
6831,2,2,2,2
6832,2,2,2,2
6833,1,1,1,1
6834,1,1,1,1
6835,1,2,1,1
6836,2,2,2,2
6837,2,2,2,2
6838,2,2,1,1
6839,1,0,1,0
